epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,655.711,0.66186,0.33496,0.87678,0.9877,0.98464,0.99435,0.80704,0.61618,0.29041,0.80082,0.0006766,0.0006766,0.0006766
100,662.447,0.65636,0.33242,0.87498,0.98778,0.99542,0.99446,0.79558,0.64491,0.29175,0.80675,0.0006733,0.0006733,0.0006733
101,669.218,0.66386,0.33341,0.87515,0.98681,0.99333,0.99436,0.80595,0.61652,0.28267,0.79793,0.00067,0.00067,0.00067
102,675.948,0.64694,0.32928,0.87482,0.98818,0.99522,0.9948,0.80368,0.61879,0.28182,0.80367,0.0006667,0.0006667,0.0006667
103,682.694,0.66043,0.33363,0.8778,0.98283,0.99033,0.9949,0.80118,0.62433,0.28764,0.80495,0.0006634,0.0006634,0.0006634
104,689.379,0.65288,0.33166,0.87782,0.98726,0.99217,0.99477,0.79615,0.63132,0.29335,0.80619,0.0006601,0.0006601,0.0006601
105,695.953,0.66053,0.33238,0.87765,0.98641,0.9899,0.99463,0.80435,0.62382,0.2844,0.80778,0.0006568,0.0006568,0.0006568
106,702.49,0.64779,0.32863,0.87331,0.98792,0.99305,0.99474,0.8045,0.6155,0.28965,0.79506,0.0006535,0.0006535,0.0006535
107,708.992,0.65944,0.33463,0.87815,0.98747,0.99403,0.99437,0.80002,0.62579,0.28545,0.80013,0.0006502,0.0006502,0.0006502
108,715.545,0.65048,0.32954,0.87343,0.99011,0.99403,0.9948,0.80015,0.59989,0.27907,0.79781,0.0006469,0.0006469,0.0006469
109,722.116,0.65237,0.32967,0.87282,0.98895,0.98692,0.99438,0.78651,0.6507,0.28574,0.80697,0.0006436,0.0006436,0.0006436
110,728.586,0.64858,0.32789,0.87519,0.98803,0.99589,0.99476,0.79501,0.63521,0.28677,0.80753,0.0006403,0.0006403,0.0006403
111,735.138,0.64674,0.327,0.87617,0.98823,0.99708,0.99482,0.79629,0.64215,0.28541,0.80231,0.000637,0.000637,0.000637
112,741.744,0.65066,0.33269,0.87914,0.98693,0.995,0.99417,0.8086,0.60311,0.28006,0.79659,0.0006337,0.0006337,0.0006337
113,748.379,0.64541,0.32539,0.8719,0.98815,0.9975,0.9944,0.80874,0.60735,0.27717,0.79314,0.0006304,0.0006304,0.0006304
114,755.099,0.64857,0.3281,0.87257,0.98773,0.99406,0.99464,0.80912,0.60416,0.28165,0.79267,0.0006271,0.0006271,0.0006271
115,761.68,0.63407,0.32519,0.87125,0.98897,0.99602,0.99417,0.80825,0.5971,0.27982,0.79121,0.0006238,0.0006238,0.0006238
116,768.327,0.64993,0.32964,0.87817,0.98867,0.99484,0.99361,0.8032,0.61381,0.27937,0.79411,0.0006205,0.0006205,0.0006205
117,774.926,0.63896,0.32602,0.87184,0.99112,0.99205,0.99484,0.79647,0.63877,0.2882,0.81236,0.0006172,0.0006172,0.0006172
118,781.64,0.64427,0.32562,0.87677,0.9899,0.995,0.99483,0.8088,0.59528,0.27575,0.79881,0.0006139,0.0006139,0.0006139
119,788.197,0.64637,0.3271,0.87497,0.98682,0.98729,0.99451,0.79925,0.61663,0.28505,0.79557,0.0006106,0.0006106,0.0006106
120,794.789,0.64012,0.32384,0.87103,0.9886,0.9975,0.9947,0.79861,0.62258,0.2815,0.79343,0.0006073,0.0006073,0.0006073
121,801.322,0.63013,0.32046,0.8672,0.9898,0.98528,0.99486,0.80764,0.59932,0.27576,0.79639,0.000604,0.000604,0.000604
122,807.821,0.64798,0.32557,0.87258,0.97953,0.98728,0.9942,0.79403,0.63052,0.28549,0.79154,0.0006007,0.0006007,0.0006007
123,814.422,0.64433,0.32485,0.87103,0.99064,0.99108,0.99434,0.80418,0.60941,0.28012,0.79345,0.0005974,0.0005974,0.0005974
124,821.226,0.62663,0.3176,0.86552,0.98399,0.98691,0.99388,0.80628,0.60431,0.27694,0.79996,0.0005941,0.0005941,0.0005941
125,828.182,0.62859,0.31847,0.86831,0.98936,0.99124,0.99388,0.80703,0.59616,0.27229,0.79384,0.0005908,0.0005908,0.0005908
126,835.067,0.641,0.32291,0.86946,0.98987,0.99322,0.99449,0.80197,0.60691,0.27327,0.78831,0.0005875,0.0005875,0.0005875
127,842.004,0.64056,0.32314,0.87409,0.9884,0.99363,0.99479,0.8067,0.60972,0.27878,0.8053,0.0005842,0.0005842,0.0005842
128,848.97,0.62504,0.31501,0.86828,0.98975,0.99453,0.9945,0.81194,0.58839,0.27242,0.79719,0.0005809,0.0005809,0.0005809
129,855.904,0.62914,0.31742,0.87077,0.99059,0.99221,0.99447,0.80652,0.59142,0.26829,0.79489,0.0005776,0.0005776,0.0005776
130,862.843,0.62507,0.31818,0.86939,0.98959,0.98732,0.99457,0.80988,0.5942,0.27095,0.79074,0.0005743,0.0005743,0.0005743
131,869.826,0.62729,0.31669,0.86839,0.98874,0.98835,0.99473,0.80628,0.6014,0.27105,0.78784,0.000571,0.000571,0.000571
132,876.751,0.62451,0.31618,0.86803,0.98928,0.99438,0.99444,0.81223,0.5819,0.26545,0.7842,0.0005677,0.0005677,0.0005677
133,883.647,0.62516,0.31827,0.86907,0.99014,0.99385,0.9947,0.80712,0.6015,0.27052,0.79085,0.0005644,0.0005644,0.0005644
134,890.558,0.62407,0.31741,0.86846,0.98682,0.99381,0.9945,0.80508,0.61744,0.2759,0.78752,0.0005611,0.0005611,0.0005611
135,897.517,0.62516,0.31529,0.86686,0.98984,0.99432,0.99464,0.81444,0.59019,0.26773,0.79376,0.0005578,0.0005578,0.0005578
136,904.434,0.62272,0.31615,0.86879,0.9904,0.99299,0.99489,0.81124,0.60178,0.26846,0.79114,0.0005545,0.0005545,0.0005545
137,911.315,0.61692,0.31503,0.86301,0.99107,0.99358,0.99497,0.81058,0.60031,0.27033,0.79802,0.0005512,0.0005512,0.0005512
138,918.807,0.6305,0.31851,0.87257,0.99034,0.99204,0.99455,0.80619,0.62329,0.27821,0.81112,0.0005479,0.0005479,0.0005479
139,926.736,0.63434,0.31892,0.87381,0.9909,0.9917,0.99483,0.80296,0.60274,0.26793,0.79221,0.0005446,0.0005446,0.0005446
140,933.907,0.62038,0.31188,0.86908,0.98911,0.99526,0.99485,0.80795,0.61113,0.27422,0.80082,0.0005413,0.0005413,0.0005413
141,940.621,0.62778,0.31729,0.87015,0.99046,0.99467,0.99486,0.80715,0.60645,0.27032,0.79872,0.000538,0.000538,0.000538
142,947.365,0.61286,0.30682,0.86113,0.98981,0.99363,0.99483,0.802,0.62173,0.27073,0.79966,0.0005347,0.0005347,0.0005347
143,954.148,0.61803,0.31077,0.87001,0.98621,0.99285,0.99476,0.80553,0.61622,0.27376,0.79584,0.0005314,0.0005314,0.0005314
144,961.057,0.61795,0.31125,0.86722,0.98611,0.99112,0.99469,0.8056,0.6185,0.27348,0.80581,0.0005281,0.0005281,0.0005281
145,967.769,0.61596,0.31103,0.86572,0.9895,0.99583,0.99416,0.80729,0.60317,0.27168,0.79879,0.0005248,0.0005248,0.0005248
146,974.637,0.61634,0.31102,0.86653,0.98823,0.99543,0.99455,0.80713,0.60302,0.2702,0.79518,0.0005215,0.0005215,0.0005215
147,981.45,0.61209,0.30821,0.86555,0.98957,0.9946,0.99467,0.81221,0.58689,0.26517,0.80008,0.0005182,0.0005182,0.0005182
148,988.319,0.61704,0.31325,0.86378,0.98852,0.99506,0.9946,0.80843,0.60172,0.26287,0.80242,0.0005149,0.0005149,0.0005149
149,995.065,0.61311,0.31028,0.86491,0.9901,0.99544,0.99494,0.80794,0.6031,0.26672,0.80449,0.0005116,0.0005116,0.0005116
150,1001.81,0.60453,0.30752,0.86497,0.99125,0.99143,0.99496,0.8119,0.59577,0.26225,0.8024,0.0005083,0.0005083,0.0005083
151,1008.47,0.61738,0.31138,0.8658,0.99106,0.99228,0.99497,0.81193,0.5834,0.25943,0.79573,0.000505,0.000505,0.000505
152,1015.14,0.61071,0.30764,0.86522,0.99172,0.98935,0.99495,0.81096,0.58934,0.26553,0.79959,0.0005017,0.0005017,0.0005017
153,1021.73,0.6014,0.3044,0.86238,0.98505,0.99207,0.99491,0.80038,0.61449,0.27193,0.80308,0.0004984,0.0004984,0.0004984
154,1028.39,0.61347,0.3104,0.86959,0.99043,0.99623,0.99493,0.81293,0.58463,0.26177,0.80001,0.0004951,0.0004951,0.0004951
155,1035.18,0.60242,0.30516,0.86324,0.99168,0.99281,0.99497,0.81294,0.59001,0.26649,0.80463,0.0004918,0.0004918,0.0004918
156,1041.9,0.60337,0.30721,0.86305,0.99106,0.99212,0.99475,0.8162,0.57575,0.25969,0.80156,0.0004885,0.0004885,0.0004885
157,1048.68,0.61045,0.30737,0.86576,0.99036,0.9929,0.99465,0.81487,0.5857,0.26458,0.80342,0.0004852,0.0004852,0.0004852
158,1055.5,0.61176,0.30788,0.86462,0.98929,0.99261,0.99455,0.80797,0.59489,0.26974,0.80298,0.0004819,0.0004819,0.0004819
159,1062.45,0.61195,0.30649,0.86479,0.99039,0.99334,0.99456,0.81223,0.58617,0.2626,0.80283,0.0004786,0.0004786,0.0004786
160,1069.19,0.60036,0.30219,0.8628,0.98964,0.9946,0.99453,0.81507,0.58918,0.26061,0.80059,0.0004753,0.0004753,0.0004753
161,1076.05,0.60435,0.3036,0.86088,0.99017,0.99444,0.99456,0.81151,0.59777,0.2573,0.80287,0.000472,0.000472,0.000472
162,1082.87,0.60748,0.30711,0.86613,0.9904,0.99395,0.9946,0.81109,0.60268,0.26275,0.80357,0.0004687,0.0004687,0.0004687
163,1089.54,0.59545,0.30241,0.86047,0.99029,0.99272,0.9948,0.81179,0.59333,0.26139,0.7993,0.0004654,0.0004654,0.0004654
164,1096.24,0.60585,0.30578,0.86522,0.98841,0.99352,0.99465,0.81818,0.58446,0.25954,0.79849,0.0004621,0.0004621,0.0004621
165,1102.94,0.60055,0.30416,0.86333,0.9891,0.99333,0.99468,0.81316,0.59952,0.26299,0.79567,0.0004588,0.0004588,0.0004588
166,1109.54,0.60107,0.30018,0.85985,0.98851,0.9933,0.99488,0.81416,0.59463,0.26392,0.79318,0.0004555,0.0004555,0.0004555
167,1116.21,0.60689,0.30339,0.86511,0.98705,0.99385,0.99459,0.81786,0.57494,0.25628,0.793,0.0004522,0.0004522,0.0004522
168,1122.94,0.59761,0.3013,0.86252,0.98974,0.99473,0.99457,0.81153,0.59018,0.26215,0.79405,0.0004489,0.0004489,0.0004489
169,1129.75,0.59187,0.29988,0.86012,0.98876,0.99241,0.99455,0.81426,0.59413,0.2611,0.8003,0.0004456,0.0004456,0.0004456
170,1136.61,0.59988,0.30103,0.86019,0.98853,0.9926,0.99459,0.8174,0.57498,0.25847,0.79712,0.0004423,0.0004423,0.0004423
171,1143.47,0.59574,0.29867,0.86033,0.98981,0.99543,0.99457,0.81834,0.56928,0.25554,0.79127,0.000439,0.000439,0.000439
172,1150.32,0.59596,0.29856,0.85997,0.99017,0.99447,0.99485,0.82005,0.58105,0.25788,0.79324,0.0004357,0.0004357,0.0004357
173,1157.19,0.60493,0.30374,0.8647,0.98894,0.99138,0.99488,0.81582,0.57496,0.25805,0.80154,0.0004324,0.0004324,0.0004324
174,1164,0.59295,0.29965,0.85934,0.98997,0.99692,0.99488,0.81932,0.57262,0.25695,0.79867,0.0004291,0.0004291,0.0004291
175,1170.88,0.60002,0.30002,0.86142,0.98988,0.99707,0.99485,0.81278,0.57116,0.25152,0.79725,0.0004258,0.0004258,0.0004258
176,1177.61,0.60338,0.29999,0.86518,0.99021,0.99583,0.99487,0.8208,0.5657,0.24831,0.7976,0.0004225,0.0004225,0.0004225
177,1184.36,0.60505,0.30162,0.863,0.99004,0.99148,0.99488,0.81531,0.58761,0.2614,0.79844,0.0004192,0.0004192,0.0004192
178,1191.15,0.59027,0.29857,0.86113,0.99079,0.99238,0.99491,0.81607,0.57799,0.25794,0.79229,0.0004159,0.0004159,0.0004159
179,1197.97,0.59429,0.2989,0.86116,0.98995,0.9951,0.99489,0.81725,0.57322,0.25494,0.79703,0.0004126,0.0004126,0.0004126
180,1204.76,0.58629,0.29753,0.85999,0.99005,0.99525,0.99452,0.81631,0.5869,0.25872,0.80126,0.0004093,0.0004093,0.0004093
181,1211.56,0.59085,0.29407,0.86168,0.99006,0.99308,0.99453,0.81655,0.58209,0.25545,0.8021,0.000406,0.000406,0.000406
182,1218.39,0.59046,0.29679,0.8602,0.98984,0.99211,0.99445,0.81454,0.58068,0.25557,0.80074,0.0004027,0.0004027,0.0004027
183,1225.18,0.59272,0.30016,0.8659,0.99146,0.99131,0.99488,0.81318,0.5753,0.25494,0.79771,0.0003994,0.0003994,0.0003994
184,1231.99,0.5877,0.29567,0.86,0.9908,0.99438,0.99485,0.81511,0.58456,0.25556,0.7925,0.0003961,0.0003961,0.0003961
