epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,160.012,0.60136,0.34331,0.84359,0.99076,0.99029,0.99444,0.81428,0.60432,0.31606,0.80246,0.0007129,0.0007129,0.0007129
89,161.835,0.58636,0.33197,0.84686,0.98877,0.9925,0.99423,0.81216,0.60217,0.31911,0.79881,0.0007096,0.0007096,0.0007096
90,163.647,0.60171,0.33894,0.84828,0.98935,0.99116,0.99422,0.80811,0.59315,0.31019,0.80397,0.0007063,0.0007063,0.0007063
91,165.485,0.59315,0.33502,0.85316,0.98937,0.99454,0.99439,0.80866,0.6014,0.31452,0.80211,0.000703,0.000703,0.000703
92,167.279,0.60671,0.34787,0.84959,0.98888,0.99565,0.99422,0.80883,0.6025,0.31756,0.80278,0.0006997,0.0006997,0.0006997
93,169.097,0.6008,0.34724,0.85263,0.98812,0.99,0.99385,0.80726,0.60174,0.32997,0.80637,0.0006964,0.0006964,0.0006964
94,170.911,0.59964,0.3406,0.85241,0.99043,0.99292,0.99422,0.80511,0.61304,0.3262,0.80608,0.0006931,0.0006931,0.0006931
95,172.715,0.59899,0.34066,0.84839,0.98808,0.995,0.99424,0.80961,0.59435,0.31515,0.80384,0.0006898,0.0006898,0.0006898
96,174.514,0.618,0.34343,0.855,0.98924,0.99,0.99381,0.80154,0.60593,0.31473,0.79952,0.0006865,0.0006865,0.0006865
97,176.298,0.59591,0.33507,0.84513,0.99026,0.99551,0.99433,0.7947,0.61986,0.31758,0.80369,0.0006832,0.0006832,0.0006832
98,178.065,0.57582,0.3287,0.84117,0.99051,0.99542,0.99429,0.81619,0.58529,0.30704,0.80569,0.0006799,0.0006799,0.0006799
99,179.853,0.5827,0.32239,0.84088,0.9894,0.99433,0.99431,0.81311,0.59698,0.30438,0.7998,0.0006766,0.0006766,0.0006766
100,181.698,0.59199,0.32935,0.84078,0.98478,0.98321,0.99381,0.80442,0.61857,0.31298,0.80779,0.0006733,0.0006733,0.0006733
